# Package	Version
binutils	2.42-4ubuntu2.10
binutils-common	2.42-4ubuntu2.10
binutils-x86-64-linux-gnu	2.42-4ubuntu2.10
build-essential	12.10ubuntu1
bzip2	1.0.8-5.1ubuntu0.1
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
cpp	4:13.2.0-7ubuntu1
cpp-12	12.4.0-2ubuntu1~24.04.1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
dpkg	1.22.6ubuntu6.6
dpkg-dev	1.22.6ubuntu6.6
g++	4:13.2.0-7ubuntu1
g++-12	12.4.0-2ubuntu1~24.04.1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcc	4:13.2.0-7ubuntu1
gcc-12	12.4.0-2ubuntu1~24.04.1
gcc-12-base	12.4.0-2ubuntu1~24.04.1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base	13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-14-base	14.2.0-4ubuntu2~24.04.1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gzip	1.12-1ubuntu3.2
init-system-helpers	1.66ubuntu1
libaccinj64-12.0	12.0.146~12.0.1-4build4
libacl1	2.3.2-1build1.1
libarchive13t64	3.7.2-2ubuntu0.8
libasan8	14.2.0-4ubuntu2~24.04.1
libatomic1	14.2.0-4ubuntu2~24.04.1
libbinutils	2.42-4ubuntu2.10
libbrotli1	1.1.0-2build2
libbz2-1.0	1.0.8-5.1ubuntu0.1
libc-dev-bin	2.39-0ubuntu8.8
libc6	2.39-0ubuntu8.8
libc6-dev	2.39-0ubuntu8.8
libcap2	1:2.66-5ubuntu2.4
libcc1-0	14.2.0-4ubuntu2~24.04.1
libcom-err2	1.47.0-2.4~exp1ubuntu4.1
libcrypt-dev	1:4.4.36-4build1
libcrypt1	1:4.4.36-4build1
libctf-nobfd0	2.42-4ubuntu2.10
libctf0	2.42-4ubuntu2.10
libcu++-dev	1.9.0-3
libcub-dev	2.0.1-2
libcublas12	12.0.2.224~12.0.1-4build4
libcublaslt12	12.0.2.224~12.0.1-4build4
libcudart12	12.0.146~12.0.1-4build4
libcufft11	11.0.1.95~12.0.1-4build4
libcufftw11	11.0.1.95~12.0.1-4build4
libcuinj64-12.0	12.0.146~12.0.1-4build4
libcupti-dev	12.0.146~12.0.1-4build4
libcupti12	12.0.146~12.0.1-4build4
libcurand10	11.1.1+~10.3.1.124~12.0.1-4build4
libcurl3t64-gnutls	8.5.0-2ubuntu10.13
libcurl4-openssl-dev	8.5.0-2ubuntu10.13
libcurl4t64	8.5.0-2ubuntu10.13
libcusolver11	11.4.3.1~12.0.1-4build4
libcusolvermg11	11.4.3.1~12.0.1-4build4
libcusparse12	12.0.1.140~12.0.1-4build4
libdb5.3t64	5.3.28+dfsg2-7
libdpkg-perl	1.22.6ubuntu6.6
liberror-perl	0.17029-2
libexpat1	2.6.1-2ubuntu0.4
libffi8	3.4.6-1build1
libgcc-12-dev	12.4.0-2ubuntu1~24.04.1
libgcc-13-dev	13.3.0-6ubuntu2~24.04.1
libgcc-s1	14.2.0-4ubuntu2~24.04.1
libgcrypt20	1.10.3-2ubuntu0.1
libgdbm-compat4t64	1.23-5.1build1
libgdbm6t64	1.23-5.1build1
libgmp10	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64	3.8.3-1.1ubuntu3.6
libgomp1	14.2.0-4ubuntu2~24.04.1
libgpg-error0	1.47-3build2.1
libgprofng0	2.42-4ubuntu2.10
libgssapi-krb5-2	1.20.1-6ubuntu2.7
libhogweed6t64	3.9.1-2.2build1.1
libhwasan0	14.2.0-4ubuntu2~24.04.1
libicu74	74.2-1ubuntu3.1
libidn2-0	2.3.7-2build1.1
libisl23	0.26-3build1.1
libitm1	14.2.0-4ubuntu2~24.04.1
