adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.14
apt	2.8.3
apt-utils	2.8.3
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
base-passwd	3.6.3build1
ca-certificates	20260601~24.04.1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp	4:13.2.0-7ubuntu1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dconf-gsettings-backend	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
dmsetup	2:1.02.185-3ubuntu3.2
dpkg	1.22.6ubuntu6.6
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-liberation	1:2.1.5-3
fonts-liberation-sans-narrow	1:1.07.6-4
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1
fonts-unifont	1:15.1.01-1build1
fonts-wqy-zenhei	0.9.45-8
gcc-13-base	13.3.0-6ubuntu2~24.04.1
gcc-14-base	14.2.0-4ubuntu2~24.04.1
gir1.2-girepository-2.0	1.80.1-1
gir1.2-glib-2.0	2.80.0-6ubuntu3.8
gpgv	2.4.4-2ubuntu17.4
gsettings-desktop-schemas	46.1-0ubuntu1
gtk-update-icon-cache	3.24.41-4ubuntu1.3
hicolor-icon-theme	0.17-2
humanity-icon-theme	0.6.16
init-system-helpers	1.66ubuntu1
krb5-locales	1.20.1-6ubuntu2.8
libacl1	2.3.2-1build1.1
libapparmor1	4.0.1really4.0.1-0ubuntu0.24.04.7
libapt-pkg6.0t64	2.8.3
libargon2-1	0~20190702+dfsg-4build1
libasound2-data	1.2.11-1ubuntu0.3
libasound2t64	1.2.11-1ubuntu0.3
libassuan0	2.5.6-1build1
libatk1.0-0t64	2.52.0-1build1
libatk-bridge2.0-0t64	2.52.0-1build1
libatspi2.0-0t64	2.52.0-1build1
libaudit1	1:3.1.2-2.1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libauthen-sasl-perl	2.1700-1
libavahi-client3	0.8-13ubuntu6.2
libavahi-common3	0.8-13ubuntu6.2
libavahi-common-data	0.8-13ubuntu6.2
libblkid1	2.39.3-9ubuntu6.5
libbrotli1	1.1.0-2build2
libbsd0	0.12.1-1build1.1
libbz2-1.0	1.0.8-5.1build0.1
libc6	2.39-0ubuntu8.8
libcairo2	1.18.0-3build1
libcairo-gobject2	1.18.0-3build1
libcap2	1:2.66-5ubuntu2.4
libcap-ng0	0.8.4-2build2
libclone-perl	0.46-1build3
libcolord2	1.4.7-1build2
libcom-err2	1.47.0-2.4~exp1ubuntu4.1
libcrypt1	1:4.4.36-4build1
libcryptsetup12	2:2.7.0-1ubuntu4.2
libcups2t64	2.4.7-1.2ubuntu7.14
libcurl3t64-gnutls	8.5.0-2ubuntu10.13
libdata-dump-perl	1.25-1
libdatrie1	0.2.13-3build1
libdb5.3t64	5.3.28+dfsg2-7
libdbus-1-3	1.14.10-4ubuntu4.1
libdconf1	0.40.0-4ubuntu0.1
libdebconfclient0	0.271ubuntu3
libdeflate0	1.19-1build1.1
libdevmapper1.02.1	2:1.02.185-3ubuntu3.2
libdrm2	2.4.125-1ubuntu0.1~24.04.2
libdrm-amdgpu1	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1	2.4.125-1ubuntu0.1~24.04.2
libedit2	3.1-20230828-1build1
libegl1	1.7.0-1build1
libegl-mesa0	25.2.8-0ubuntu0.24.04.2
libelf1t64	0.190-1.1ubuntu0.1
libencode-locale-perl	1.05-3
libepoxy0	1.5.10-1build1
libexpat1	2.6.1-2ubuntu0.4
libfdisk1	2.39.3-9ubuntu6.5
libffi8	3.4.6-1build1
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.22-3
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.34-1
libfont-afm-perl	1.20-4
libfontconfig1	2.15.0-1.1ubuntu2
libfontenc1	1:1.1.8-1build1
libfreetype6	2.13.2+dfsg-1ubuntu0.1
libfribidi0	1.0.13-3build1
libgbm1	25.2.8-0ubuntu0.24.04.2
libgcc-s1	14.2.0-4ubuntu2~24.04.1
libgcrypt20	1.10.3-2ubuntu0.1
libgdbm6t64	1.23-5.1build1
libgdbm-compat4t64	1.23-5.1build1
libgdk-pixbuf-2.0-0	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.3
libgirepository-1.0-1	1.80.1-1
libgl1	1.7.0-1build1
libgl1-mesa-dri	25.2.8-0ubuntu0.24.04.2
libgles2	1.7.0-1build1
libglib2.0-0t64	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglvnd0	1.7.0-1build1
libglx0	1.7.0-1build1
libglx-mesa0	25.2.8-0ubuntu0.24.04.2
libgmp10	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64	3.8.3-1.1ubuntu3.6
libgpg-error0	1.47-3build2.1
libgpg-error-l10n	1.47-3build2.1
libgpm2	1.20.7-11
libgraphite2-3	1.3.14-2ubuntu0.24.04.1
libgssapi-krb5-2	1.20.1-6ubuntu2.8
libgtk-3-0t64	3.24.41-4ubuntu1.3
libgtk-3-bin	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libharfbuzz0b	8.3.0-2build2
libhogweed6t64	3.9.1-2.2build1.1
libhtml-format-perl	2.16-2
libhtml-form-perl	6.11-1
libhtml-parser-perl	3.81-1ubuntu0.1
libhtml-tagset-perl	3.20-6
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1ubuntu0.24.04.1
libhttp-date-perl	6.06-1ubuntu0.24.04.1
libhttp-message-perl	6.45-1ubuntu1
libhttp-negotiate-perl	6.01-2
libice6	2:1.0.10-1build3
libicu74	74.2-1ubuntu3.1
libidn2-0	2.3.7-2build1.1
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.085-1
libio-stringy-perl	2.111-3
libipc-system-simple-perl	1.30-2
libisl23	0.26-3build1.1
libjbig0	2.1-6.1ubuntu2
libjpeg8	8c-2ubuntu11
libjpeg-turbo8	2.1.5-2ubuntu2
libjson-c5	0.17-1build1
libk5crypto3	1.20.1-6ubuntu2.8
libkeyutils1	1.6.3-3build1
libkmod2	31+20240202-2ubuntu7.2
libkrb5-3	1.20.1-6ubuntu2.8
libkrb5support0	1.20.1-6ubuntu2.8
liblcms2-2	2.14-2ubuntu0.1
libldap2	2.6.10+dfsg-0ubuntu0.24.04.1
libldap-common	2.6.10+dfsg-0ubuntu0.24.04.1
liblerc4	4.0.0+ds-4ubuntu2
libllvm20	1:20.1.2-0ubuntu1~24.04.3
liblocale-gettext-perl	1.07-6ubuntu5
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.13-1
liblz4-1	1.9.4-1build1.1
liblzma5	5.6.1+really5.4.5-1ubuntu0.3
libmailtools-perl	2.21-2
libmd0	1.1.0-2build1.1
libmount1	2.39.3-9ubuntu6.5
libmpc3	1.3.1-1build1.1
libmpfr6	4.2.1-1build1.1
libncursesw6	6.4+20240113-1ubuntu2.1
libnet-dbus-perl	1.2.0-2build3
libnet-http-perl	6.23-1
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl	1.94-1build4
libnettle8t64	3.9.1-2.2build1.1
libnghttp2-14	1.59.0-1ubuntu0.4
libnpth0t64	1.6-3.1build1
libnspr4	2:4.35-1.1build1
libnss3	2:3.98-1ubuntu0.2
libnss-systemd	255.4-1ubuntu8.17
libp11-kit0	0.25.3-4ubuntu2.2
libpam0g	1.5.3-5ubuntu5.7
libpam-modules	1.5.3-5ubuntu5.7
libpam-modules-bin	1.5.3-5ubuntu5.7
libpam-runtime	1.5.3-5ubuntu5.7
libpam-systemd	255.4-1ubuntu8.17
libpango-1.0-0	1.52.1+ds-1build1
libpangocairo-1.0-0	1.52.1+ds-1build1
libpangoft2-1.0-0	1.52.1+ds-1build1
libpciaccess0	0.17-3ubuntu0.24.04.2
libpcre2-8-0	10.42-4ubuntu2.1
libperl5.38t64	5.38.2-3.2ubuntu0.4
libpixman-1-0	0.42.2-1build1
libpng16-16t64	1.6.43-5ubuntu0.6
libproc2-0	2:4.0.4-4ubuntu3.3
libpsl5t64	0.21.2-1.1build1
libpython3.12-minimal	3.12.3-1ubuntu0.16
libpython3.12-stdlib	3.12.3-1ubuntu0.16
libpython3-stdlib	3.12.3-0ubuntu2.1
libreadline8t64	8.2-4build1
librsvg2-2	2.58.0+dfsg-1build1
librsvg2-common	2.58.0+dfsg-1build1
librtmp1	2.4+20151223.gitfa8646d.1-2build7
libsasl2-2	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db	2.1.28+dfsg1-5ubuntu3.1
libseccomp2	2.5.5-1ubuntu3.1
libselinux1	3.5-2ubuntu2.1
libsemanage2	3.5-1build5
libsemanage-common	3.5-1build5
libsensors5	1:3.6.0-9build1
libsensors-config	1:3.6.0-9build1
libsepol2	3.5-2build1
libsharpyuv0	1.3.2-0.4build3
libsm6	2:1.2.3-1build3
libsmartcols1	2.39.3-9ubuntu6.5
libsqlite3-0	3.45.1-1ubuntu2.7
libssh-4	0.10.6-2ubuntu0.4
libssl3t64	3.0.13-0ubuntu3.15
libstdc++6	14.2.0-4ubuntu2~24.04.1
libsystemd0	255.4-1ubuntu8.17
libsystemd-shared	255.4-1ubuntu8.17
